Data_Type,p,mc,synmc,TargetType,Target,Metric,Synth_Family,rel_orig,rel_synth,reinforcement_ratio
parametric,6,4,5,Continuous,X1,RMSE,svm,0.9135985753162652,0.6098783006207398,0.6675560985957263
parametric,6,4,5,Continuous,X1,R_squared,svm,0.8349226581705724,0.3722689813502497,0.4458724142975602
parametric,6,4,5,Continuous,X2,MAE,svm,0.9670092638098784,0.8185219246964626,0.8464468287217881
parametric,6,4,5,Continuous,X2,RMSE,svm,0.9666159461502651,0.8352492904643969,0.864096328837672
parametric,6,4,5,Continuous,X2,R_squared,svm,0.9347661747982527,0.6975967589788058,0.7462794202297335
parametric,6,5,1,Continuous,X1,MAE,svm,0.8926561025753635,0.8611799162949504,0.9647387317583977
parametric,6,5,1,Continuous,X2,MAE,svm,0.9579731749728951,0.8094909476577505,0.8450037733892227
parametric,6,5,1,Continuous,X2,RMSE,svm,0.954888908353523,0.8212179511460892,0.860014127258094
parametric,6,5,1,Continuous,X2,R_squared,svm,0.9115971521450643,0.6738595759562939,0.7392076361478818
parametric,6,5,2,Continuous,X1,MAE,svm,0.8926561025753635,0.8592180205460449,0.9625409136476546
parametric,6,5,2,Continuous,X2,MAE,svm,0.9579731749728951,0.8242000198595711,0.8603581409081638
parametric,6,5,2,Continuous,X2,RMSE,svm,0.954888908353523,0.8248012115262091,0.8637666688875684
parametric,6,5,2,Continuous,X2,R_squared,svm,0.9115971521450643,0.6815472240176423,0.7476407999014748
parametric,6,5,3,Continuous,X1,MAE,svm,0.8926561025753635,0.8509721276603315,0.9533034336574058
parametric,6,5,3,Continuous,X2,MAE,svm,0.9579731749728951,0.821958057523882,0.8580178224167273
parametric,6,5,3,Continuous,X2,RMSE,svm,0.954888908353523,0.8284036624746116,0.8675393076907711
parametric,6,5,3,Continuous,X2,R_squared,svm,0.9115971521450643,0.6871522497744798,0.7537893774213237
parametric,6,5,4,Continuous,X1,MAE,svm,0.8926561025753635,0.8845841532142957,0.9909573806331691
parametric,6,5,4,Continuous,X2,MAE,svm,0.9579731749728951,0.801965397114669,0.8371480726872751
parametric,6,5,4,Continuous,X2,RMSE,svm,0.954888908353523,0.8201229321213465,0.8588673770810176
parametric,6,5,4,Continuous,X2,R_squared,svm,0.9115971521450643,0.6729291098229451,0.7381869373324462
parametric,6,5,5,Continuous,X1,MAE,svm,0.8926561025753635,0.8812436465068776,0.9872151705056849
