Data_Type,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
parametric,Categorical,Specificity,bn,cart,FALSE,15,0.0395726536546503,0.004125306209532685,0.03183739694860869,0.047950070954061716,4e-4
parametric,Categorical,Specificity,bn,parm,FALSE,15,-0.0016446166346391566,2.4165436268510962e-4,-0.0021225272321617815,-0.0011747566414212196,4e-4
parametric,Categorical,Specificity,bn,svm,FALSE,15,0.024249345225865228,0.0029535215037946737,0.01862268216704435,0.030202808195958327,4e-4
parametric,Categorical,Specificity,cart,bn,FALSE,15,0.03160477301210327,0.005326218221139742,0.022477540020557633,0.042813350851107615,4e-4
parametric,Categorical,Specificity,cart,cart,TRUE,15,0.03822969459502826,0.0038700442888292765,0.03085542434537455,0.04618995747754538,4e-4
parametric,Categorical,Specificity,cart,parm,FALSE,15,-0.0021041927619409365,7.824739236677452e-4,-0.0037285260746348107,-7.092232511765302e-4,8e-4
parametric,Categorical,Specificity,cart,svm,FALSE,15,0.02608599054233321,0.0031009956631435085,0.020223684443063657,0.032363349812754696,4e-4
parametric,Categorical,Specificity,parm,bn,FALSE,15,0.023974659613738982,0.004508594616002805,0.015805338868609978,0.03328178357366946,4e-4
parametric,Categorical,Specificity,parm,cart,FALSE,15,0.023556609441256465,0.003434683526322983,0.01704952624593762,0.030434515043782397,4e-4
parametric,Categorical,Specificity,parm,parm,TRUE,15,-1.7378814733964024e-4,8.298327377126397e-4,-0.001952858860426308,0.0012012358543617542,0.8908
parametric,Categorical,Specificity,parm,svm,FALSE,15,0.02165329410312917,0.003157200105763042,0.015650532220127984,0.0280514571979463,4e-4
parametric,Categorical,Specificity,svm,bn,FALSE,15,0.014073885096798442,0.010152182051284849,-0.004241077777933393,0.0352375205727393,0.1556
parametric,Categorical,Specificity,svm,cart,FALSE,15,0.032758364943948036,0.004541898581721308,0.024199968874823206,0.041907868821073925,4e-4
parametric,Categorical,Specificity,svm,parm,FALSE,15,-0.035679240022106,0.008893605252819752,-0.05318411915678565,-0.01852196659632765,4e-4
parametric,Categorical,Specificity,svm,svm,TRUE,15,0.006342249328220744,0.006140930005674083,-0.0059901779105840484,0.017908028299071385,0.3028
parametric,Continuous,MAE,cart,cart,TRUE,15,0.34836042286981483,0.072101544692786,0.2145840224378179,0.4938145273559289,4e-4
parametric,Continuous,MAE,cart,parm,FALSE,15,-0.001897972654761575,7.919000255996318e-4,-0.00364659212647148,-6.031297906662708e-4,4e-4
