Data_Type,p,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,12,Categorical,Specificity,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,12,Categorical,Specificity,cart,parm,FALSE,5,0.004899144131617194,0.0017789397349586874,0.0019197110629122704,0.008646609020254046,4e-4
hierarchical,12,Categorical,Specificity,cart,svm,FALSE,5,-6.913031227389317e-4,7.661616960896945e-4,-0.0024443786857643863,5.602759817529977e-4,0.4108
hierarchical,12,Categorical,Specificity,parm,bn,FALSE,5,0.04021678967011118,0.01620247476777489,0.015703472108985334,0.07496542489056444,4e-4
hierarchical,12,Categorical,Specificity,parm,cart,FALSE,5,-0.04070567092525705,0.008425491377940941,-0.05759404961915068,-0.026013028425843705,4e-4
hierarchical,12,Categorical,Specificity,parm,parm,TRUE,5,0.08803835546648164,0.013986737173846192,0.06334036109055925,0.11687769120617067,4e-4
hierarchical,12,Categorical,Specificity,parm,svm,FALSE,5,-6.725264474709737e-4,0.007700372991545089,-0.018166675793513016,0.010383224853136332,0.8756
hierarchical,12,Categorical,Specificity,svm,bn,FALSE,5,0.05053634365335552,0.013036905637589528,0.024016607934784294,0.07490884699697424,4e-4
hierarchical,12,Categorical,Specificity,svm,cart,FALSE,5,-0.006812207902627031,8.594897692771622e-4,-0.008552209790925884,-0.005341971034497427,4e-4
hierarchical,12,Categorical,Specificity,svm,parm,FALSE,5,0.054159971346074455,0.01614331842890332,0.0198457236619628,0.08387623601204328,0.0016
hierarchical,12,Categorical,Specificity,svm,svm,TRUE,5,0.016419914204848146,0.008408603236780858,-6.082868236340722e-4,0.031202680123088383,0.066
hierarchical,12,Continuous,MAE,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,12,Continuous,MAE,cart,parm,FALSE,5,0.03485785059663199,0.004901320785511077,0.0251292378456264,0.044331922922122534,4e-4
hierarchical,12,Continuous,MAE,cart,svm,FALSE,5,0.07528362752549382,0.009714717078317895,0.05683283521272616,0.09405975295194605,4e-4
hierarchical,12,Continuous,MAE,parm,cart,FALSE,5,-0.09882318276159614,0.010827816169161874,-0.11883322372911631,-0.07633418131617344,4e-4
hierarchical,12,Continuous,MAE,parm,parm,TRUE,5,0.8492651014421181,0.03478826639732202,0.7718626506128501,0.8997112918240657,4e-4
hierarchical,12,Continuous,MAE,parm,svm,FALSE,5,0.6930865584910367,0.03236038677560386,0.6267512776402653,0.7537336470967368,4e-4
hierarchical,12,Continuous,MAE,svm,cart,FALSE,5,-0.008173188647424794,0.0033734120596685935,-0.014806390206942294,-0.0015399870879072945,0.0012
hierarchical,12,Continuous,MAE,svm,parm,FALSE,5,0.4347033617725916,0.018311929595623482,0.39892461631041254,0.47048210723477074,4e-4
hierarchical,12,Continuous,MAE,svm,svm,TRUE,5,0.5444640103131282,0.018246907788045785,0.509042270494616,0.5810461024147536,4e-4
hierarchical,12,Continuous,RMSE,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,12,Continuous,RMSE,cart,parm,FALSE,5,0.09238365718146051,0.01037050403022386,0.07024826478715024,0.11211149938424786,4e-4
hierarchical,12,Continuous,RMSE,cart,svm,FALSE,5,0.1777193861398438,0.014877509749302072,0.14933129127667227,0.20610748100301535,4e-4
hierarchical,12,Continuous,RMSE,parm,cart,FALSE,5,-0.09790922233130231,0.01161367174187072,-0.11981580470421559,-0.07467056942754172,4e-4
hierarchical,12,Continuous,RMSE,parm,parm,TRUE,5,0.8194273926894956,0.03445781391026276,0.7414796432826951,0.8690349652292042,4e-4
hierarchical,12,Continuous,RMSE,parm,svm,FALSE,5,0.6670900760373908,0.041405972265593526,0.576540258714617,0.7400502535435067,4e-4
hierarchical,12,Continuous,RMSE,svm,cart,FALSE,5,-0.0066142967366589825,0.0022468844118984864,-0.01080798389201607,-0.002420609581301895,4e-4
hierarchical,12,Continuous,RMSE,svm,parm,FALSE,5,0.5132296824874041,0.026530152027303876,0.46235340587942375,0.5641059590953843,4e-4
hierarchical,12,Continuous,RMSE,svm,svm,TRUE,5,0.6014119389570952,0.027126972864452245,0.5456836788636028,0.6523956424401716,4e-4
hierarchical,12,Continuous,R_squared,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,12,Continuous,R_squared,cart,parm,FALSE,5,0.036859947687124243,0.0045674675152673075,0.027021552489231507,0.04430284095620156,4e-4
hierarchical,12,Continuous,R_squared,cart,svm,FALSE,5,0.14093995256447864,0.02171455835914733,0.10532956902040781,0.1874831173698842,4e-4
hierarchical,12,Continuous,R_squared,parm,cart,FALSE,5,-0.18404619263353697,0.020827689706238963,-0.22329365369920998,-0.14239309357438226,4e-4
hierarchical,12,Continuous,R_squared,parm,parm,TRUE,5,0.9342589450685063,0.0351478190254666,0.8544716434511378,0.978140042030616,4e-4
hierarchical,12,Continuous,R_squared,parm,svm,FALSE,5,0.8362295495187189,0.033994027201678684,0.7589775596872255,0.889686124258706,4e-4
hierarchical,12,Continuous,R_squared,svm,cart,FALSE,5,-0.013339905675865703,0.00449047808092284,-0.02167366474308218,-0.00498397792087277,4e-4
hierarchical,12,Continuous,R_squared,svm,parm,FALSE,5,0.43458900142219126,0.027000367105691515,0.38188584096405126,0.4872921618803312,4e-4
hierarchical,12,Continuous,R_squared,svm,svm,TRUE,5,0.7244749120720857,0.010922648058915851,0.7051330862640414,0.7477079342913643,4e-4
hierarchical,18,Categorical,Accuracy,bn,bn,TRUE,5,0.24327549060619236,0.02096196917507301,0.20705657957992893,0.2882080151564601,4e-4
hierarchical,18,Categorical,Accuracy,bn,cart,FALSE,5,-0.019734050125794947,0.00430831335529728,-0.02921382734030621,-0.012359028435050524,4e-4
hierarchical,18,Categorical,Accuracy,bn,parm,FALSE,5,0.13658201401109207,0.01462473537204636,0.11019273369749294,0.16602557720513197,4e-4
hierarchical,18,Categorical,Accuracy,bn,svm,FALSE,5,0.05664063579926063,0.0127549337931394,0.028569404526927033,0.08106926462684524,4e-4
hierarchical,18,Categorical,Accuracy,cart,bn,FALSE,5,0.01080684990741781,0.0062034238296380575,-0.0015378107224330395,0.02315151053726866,0.0836
hierarchical,18,Categorical,Accuracy,cart,cart,TRUE,5,-1.985815886362078e-5,1.7740177658336775e-5,-5.9574476590862345e-5,0,0.6628
hierarchical,18,Categorical,Accuracy,cart,parm,FALSE,5,0.006040303182863561,0.004801758747585228,-0.0030671409136203472,0.015147747279347468,0.2312
hierarchical,18,Categorical,Accuracy,cart,svm,FALSE,5,-0.00416187655514856,0.003430327613534809,-0.011762149427739175,0.0018258533423513392,0.192
hierarchical,18,Categorical,Accuracy,parm,bn,FALSE,5,0.07817168375765421,0.020879470970351116,0.03586690809104924,0.11861331281459384,4e-4
hierarchical,18,Categorical,Accuracy,parm,cart,FALSE,5,-0.11330452558562715,0.00901792555975554,-0.1322757472850042,-0.09698982807962414,4e-4
hierarchical,18,Categorical,Accuracy,parm,parm,TRUE,5,0.18791151617620092,0.01111332239947704,0.168554649665083,0.21105670340602273,4e-4
hierarchical,18,Categorical,Accuracy,parm,svm,FALSE,5,0.05054081182241743,0.009228875789418757,0.034071106754752126,0.06873299878856494,4e-4
hierarchical,18,Categorical,Accuracy,svm,bn,FALSE,5,0.10069397030345349,0.011861221241262794,0.08301665791257239,0.12750817642236165,4e-4
hierarchical,18,Categorical,Accuracy,svm,cart,FALSE,5,-0.02712861030370956,0.002701510771146357,-0.03231009618036556,-0.02204484779673928,4e-4
