Data_Type,p,mc,TargetType,Target,Metric,Synthesis_Model,Synth_Family,matched_rel_orig,matched_delta,off_diagonal_delta,n_off_diagonal,diagonal_advantage,ceiling_constrained
hierarchical,18,1,Continuous,X6,R_squared,carthiersyn,cart,1,0,0.32015785877011976,2,-0.32015785877011976,TRUE
hierarchical,18,1,Continuous,X6,R_squared,parmhiersyn,parm,0.015125291321755845,0.9848747086782441,0.3536531404370866,2,0.6312215682411575,FALSE
hierarchical,18,1,Continuous,X6,R_squared,svmhiersyn,svm,0.12307933361928658,0.8754234066372806,0.22596238024075643,2,0.6494610263965241,FALSE
hierarchical,18,1,Continuous,X9,MAE,carthiersyn,cart,1,0,0.13314459708007031,2,-0.13314459708007031,TRUE
hierarchical,18,1,Continuous,X9,MAE,parmhiersyn,parm,0.10524477642818304,0.8946346414020026,0.36744250600344047,2,0.527192135398562,FALSE
hierarchical,18,1,Continuous,X9,MAE,svmhiersyn,svm,0.21757603202360326,0.7824239679763967,0.3204325967585891,2,0.4619913712178076,FALSE
hierarchical,18,1,Continuous,X9,RMSE,carthiersyn,cart,1,0,0.2935537177091566,2,-0.2935537177091566,TRUE
hierarchical,18,1,Continuous,X9,RMSE,parmhiersyn,parm,0.12960399731229297,0.870396002687707,0.34684882454942245,2,0.5235471781382846,FALSE
hierarchical,18,1,Continuous,X9,RMSE,svmhiersyn,svm,0.25126784175968764,0.7487321582403124,0.3533019467120056,2,0.39543021152830676,FALSE
hierarchical,18,1,Continuous,X9,R_squared,carthiersyn,cart,1,0,0.21569906424246227,2,-0.21569906424246227,TRUE
hierarchical,18,1,Continuous,X9,R_squared,parmhiersyn,parm,0.017436972136385714,0.9825630278636143,0.41339908694887306,2,0.5691639409147412,FALSE
hierarchical,18,1,Continuous,X9,R_squared,svmhiersyn,svm,0.06550468768320596,0.9344953123167941,0.33628152339748213,2,0.598213788919312,FALSE
hierarchical,18,2,Categorical,C3,Accuracy,bnhiersyn,bn,0.826546246804518,0.17345375319548195,0.09288526130677348,3,0.08056849188870847,FALSE
hierarchical,18,2,Categorical,C3,Accuracy,carthiersyn,cart,1,0,-0.00684063856808553,3,0.00684063856808553,TRUE
hierarchical,18,2,Categorical,C3,Accuracy,parmhiersyn,parm,0.7852809269901622,0.21471907300983784,0.030728479816052437,3,0.1839905931937854,FALSE
hierarchical,18,2,Categorical,C3,Accuracy,svmhiersyn,svm,0.8957740578428434,0.10422594215715664,0.07044978724362522,3,0.03377615491353142,FALSE
hierarchical,18,2,Categorical,C3,F1,bnhiersyn,bn,0.8123754304147939,0.18762456958520612,0.0950808037306818,3,0.09254376585452433,FALSE
hierarchical,18,2,Categorical,C3,F1,carthiersyn,cart,1,0,-0.007328430635291968,3,0.007328430635291968,TRUE
hierarchical,18,2,Categorical,C3,F1,parmhiersyn,parm,0.7775187249634773,0.2224812750365227,0.014271564245382515,3,0.2082097107911402,FALSE
hierarchical,18,2,Categorical,C3,F1,svmhiersyn,svm,0.8944167618620368,0.10558323813796322,0.06961159455055889,3,0.03597164358740433,FALSE
hierarchical,18,2,Categorical,C3,Specificity,bnhiersyn,bn,0.814027811727347,0.18526035429685464,0.08745200132110399,3,0.09780835297575065,FALSE
hierarchical,18,2,Categorical,C3,Specificity,carthiersyn,cart,1,0,-0.010456925768106928,3,0.010456925768106928,TRUE
hierarchical,18,2,Categorical,C3,Specificity,parmhiersyn,parm,0.790935485480225,0.20906451451977504,0.010404700159506062,3,0.19865981436026897,FALSE
hierarchical,18,2,Categorical,C3,Specificity,svmhiersyn,svm,0.9104874380053036,0.08951256199469637,0.08166521154119231,3,0.007847350453504057,FALSE
hierarchical,18,2,Categorical,C6,Accuracy,bnhiersyn,bn,0.8389777088680067,0.1610222911319933,0.0015108193195424436,3,0.15951147181245084,FALSE
hierarchical,18,2,Categorical,C6,Accuracy,carthiersyn,cart,1,0,0.013306910494017228,3,-0.013306910494017228,TRUE
hierarchical,18,2,Categorical,C6,Accuracy,parmhiersyn,parm,0.9234811031433671,0.07651889685663293,0.004317080343243668,3,0.07220181651338926,FALSE
hierarchical,18,2,Categorical,C6,Accuracy,svmhiersyn,svm,0.968365237158784,-0.09930660386544529,-0.03963065116501822,3,-0.059675952700427075,FALSE
hierarchical,18,2,Categorical,C6,F1,bnhiersyn,bn,0.836185758234375,0.16381424176562498,-0.0016632051810190254,3,0.165477446946644,FALSE
hierarchical,18,2,Categorical,C6,F1,carthiersyn,cart,1,0,0.01260176074944223,3,-0.01260176074944223,TRUE
hierarchical,18,2,Categorical,C6,F1,parmhiersyn,parm,0.9236039643217083,0.07639603567829167,0.005427521990266453,3,0.07096851368802522,FALSE
hierarchical,18,2,Categorical,C6,F1,svmhiersyn,svm,0.9685531460740148,-0.09980427216540919,-0.04000981427625979,3,-0.059794457889149395,FALSE
hierarchical,18,2,Categorical,C6,Specificity,bnhiersyn,bn,0.9431298038574633,0.056870196142536744,7.11558718823372e-4,3,0.056158637423713374,FALSE
hierarchical,18,2,Categorical,C6,Specificity,carthiersyn,cart,1,0,0.004489261116847813,3,-0.004489261116847813,TRUE
hierarchical,18,2,Categorical,C6,Specificity,parmhiersyn,parm,0.9743136084585279,0.02568639154147212,0.005847406847313441,3,0.01983898469415868,FALSE
hierarchical,18,2,Categorical,C6,Specificity,svmhiersyn,svm,0.9895263694883808,-0.03688236274205266,-0.015331904641772387,3,-0.02155045810028027,FALSE
hierarchical,18,2,Categorical,C9,Accuracy,bnhiersyn,bn,0.647219592246566,0.35270846765095765,0.11349798020536957,3,0.2392104874455881,FALSE
hierarchical,18,2,Categorical,C9,Accuracy,carthiersyn,cart,1,0,-4.7598513266006577e-4,3,4.7598513266006577e-4,TRUE
hierarchical,18,2,Categorical,C9,Accuracy,parmhiersyn,parm,0.7121534843348711,0.28784651566512887,0.011879860661115835,3,0.275966655004013,FALSE
hierarchical,18,2,Categorical,C9,Accuracy,svmhiersyn,svm,0.8896798329761887,0.11032016702381131,0.13699049616888834,3,-0.026670329145077026,FALSE
hierarchical,18,2,Categorical,C9,F1,bnhiersyn,bn,0.6106909973563336,0.3893090026436664,0.07169454865257821,3,0.31761445399108823,FALSE
hierarchical,18,2,Categorical,C9,F1,carthiersyn,cart,1,0,-0.0018057251815477649,3,0.0018057251815477649,TRUE
hierarchical,18,2,Categorical,C9,F1,parmhiersyn,parm,0.6970661086843097,0.30293389131569026,-0.05913475982238856,3,0.36206865113807885,FALSE
hierarchical,18,2,Categorical,C9,F1,svmhiersyn,svm,0.884491479073046,0.11550852092695396,0.1356985557204391,3,-0.020190034793485134,FALSE
hierarchical,18,2,Categorical,C9,Specificity,bnhiersyn,bn,0.9176433453195041,0.08235665468049591,0.012840918080503952,3,0.06951573659999195,FALSE
hierarchical,18,2,Categorical,C9,Specificity,carthiersyn,cart,1,0,-3.8998948371427776e-4,3,3.8998948371427776e-4,TRUE
hierarchical,18,2,Categorical,C9,Specificity,parmhiersyn,parm,0.938212430235555,0.061787569764444994,-0.0016518621537595058,3,0.0634394319182045,FALSE
hierarchical,18,2,Categorical,C9,Specificity,svmhiersyn,svm,0.9765843140165867,0.02341568598341326,0.03167696249620696,3,-0.008261276512793701,FALSE
hierarchical,18,2,Continuous,X3,MAE,carthiersyn,cart,1,0,0.08607939365326517,2,-0.08607939365326517,TRUE
hierarchical,18,2,Continuous,X3,MAE,parmhiersyn,parm,0.06610168075577436,0.9338983192442256,0.32752508404685654,2,0.6063732351973691,FALSE
hierarchical,18,2,Continuous,X3,MAE,svmhiersyn,svm,0.18041619297966358,0.7105642732819364,0.279726656204919,2,0.4308376170770174,FALSE
hierarchical,18,2,Continuous,X3,RMSE,carthiersyn,cart,1,0,0.24288780455053538,2,-0.24288780455053538,TRUE
hierarchical,18,2,Continuous,X3,RMSE,parmhiersyn,parm,0.08084386916969857,0.9191561308303015,0.3108466426948688,2,0.6083094881354327,FALSE
hierarchical,18,2,Continuous,X3,RMSE,svmhiersyn,svm,0.20229646599967768,0.7720227276250304,0.3332946365229421,2,0.4387280911020883,FALSE
hierarchical,18,2,Continuous,X3,R_squared,carthiersyn,cart,1,0,0.15025268949333395,2,-0.15025268949333395,TRUE
hierarchical,18,2,Continuous,X3,R_squared,parmhiersyn,parm,0.006619840176367966,0.993380159823632,0.31708844778360223,2,0.6762917120400298,FALSE
hierarchical,18,2,Continuous,X3,R_squared,svmhiersyn,svm,0.04146576813989305,0.9092255665586939,0.27636974276493803,2,0.6328558237937558,FALSE
hierarchical,18,2,Continuous,X6,MAE,carthiersyn,cart,1,0,0.16657562475701185,2,-0.16657562475701185,TRUE
hierarchical,18,2,Continuous,X6,MAE,parmhiersyn,parm,0.0674563684546498,0.9325436315453501,0.380643422997608,2,0.5519002085477421,FALSE
hierarchical,18,2,Continuous,X6,MAE,svmhiersyn,svm,0.15501748632586476,0.8449825136741352,0.3738484669825943,2,0.47113404669154096,FALSE
hierarchical,18,2,Continuous,X6,RMSE,carthiersyn,cart,1,0,0.301195223236653,2,-0.301195223236653,TRUE
hierarchical,18,2,Continuous,X6,RMSE,parmhiersyn,parm,0.09395600339091573,0.9060439966090843,0.3576672468296663,2,0.5483767497794181,FALSE
hierarchical,18,2,Continuous,X6,RMSE,svmhiersyn,svm,0.17848736682275534,0.8215126331772447,0.3873341448220918,2,0.4341784883551529,FALSE
hierarchical,18,2,Continuous,X6,R_squared,carthiersyn,cart,1,0,0.1854840238452976,2,-0.1854840238452976,TRUE
hierarchical,18,2,Continuous,X6,R_squared,parmhiersyn,parm,0.009062779677532102,0.9909372203224679,0.38102671617003947,2,0.6099105041524284,FALSE
hierarchical,18,2,Continuous,X6,R_squared,svmhiersyn,svm,0.032709269963812126,0.9672907300361879,0.3691773867173744,2,0.5981133433188135,FALSE
hierarchical,18,2,Continuous,X9,MAE,carthiersyn,cart,1,0,0.14454966482020004,2,-0.14454966482020004,TRUE
hierarchical,18,2,Continuous,X9,MAE,parmhiersyn,parm,0.05915357862261118,0.9408464213773888,0.3527095013389181,2,0.5881369200384707,FALSE
hierarchical,18,2,Continuous,X9,MAE,svmhiersyn,svm,0.18701913319416266,0.7527945070632369,0.2367489407725163,2,0.5160455662907206,FALSE
hierarchical,18,2,Continuous,X9,RMSE,carthiersyn,cart,1,0,0.28872100045150834,2,-0.28872100045150834,TRUE
hierarchical,18,2,Continuous,X9,RMSE,parmhiersyn,parm,0.06688642810256128,0.9331135718974387,0.34971229749057037,2,0.5834012744068684,FALSE
hierarchical,18,2,Continuous,X9,RMSE,svmhiersyn,svm,0.19276622408871838,0.8065434127960378,0.2597082291630486,2,0.5468351836329892,FALSE
hierarchical,18,2,Continuous,X9,R_squared,carthiersyn,cart,1,0,0.18410691279068314,2,-0.18410691279068314,TRUE
hierarchical,18,2,Continuous,X9,R_squared,parmhiersyn,parm,0.004481332617226928,0.9955186673827731,0.37690663035156347,2,0.6186120370312096,FALSE
hierarchical,18,2,Continuous,X9,R_squared,svmhiersyn,svm,0.03717785785848656,0.9614426415505832,0.16339803585697382,2,0.7980446056936095,FALSE
hierarchical,18,3,Categorical,C3,Accuracy,bnhiersyn,bn,0.7213033374212237,0.27869666257877634,0.06257435094866046,3,0.2161223116301159,FALSE
hierarchical,18,3,Categorical,C3,Accuracy,carthiersyn,cart,1,0,-0.04775969705967398,3,0.04775969705967398,TRUE
hierarchical,18,3,Categorical,C3,Accuracy,parmhiersyn,parm,0.7796478933080215,0.22035210669197847,-0.0720074450873532,3,0.29235955177933165,FALSE
hierarchical,18,3,Categorical,C3,Accuracy,svmhiersyn,svm,0.8925134469582984,0.10748655304170163,0.07072453270639088,3,0.036762020335310744,FALSE
hierarchical,18,3,Categorical,C3,F1,bnhiersyn,bn,0.6976880976594815,0.3023119023405185,0.06185874420888967,3,0.24045315813162885,FALSE
hierarchical,18,3,Categorical,C3,F1,carthiersyn,cart,1,0,-0.049490489904981776,3,0.049490489904981776,TRUE
hierarchical,18,3,Categorical,C3,F1,parmhiersyn,parm,0.7708794167649047,0.22912058323509532,-0.08774571460675787,3,0.31686629784185316,FALSE
hierarchical,18,3,Categorical,C3,F1,svmhiersyn,svm,0.8917096291532988,0.10829037084670123,0.05549236162405045,3,0.05279800922265079,FALSE
hierarchical,18,3,Categorical,C3,Specificity,bnhiersyn,bn,0.9459094489154495,0.05357664566067129,0.016134706577783278,3,0.03744193908288801,FALSE
hierarchical,18,3,Categorical,C3,Specificity,carthiersyn,cart,1,0,-0.007523414682493563,3,0.007523414682493563,TRUE
hierarchical,18,3,Categorical,C3,Specificity,parmhiersyn,parm,0.9548636063204793,0.045136393679520714,-0.01082025039648607,3,0.055956644076006784,FALSE
hierarchical,18,3,Categorical,C3,Specificity,svmhiersyn,svm,0.9828111378457356,0.017188862154264406,0.019380778862259737,3,-0.002191916707995331,FALSE
hierarchical,18,3,Categorical,C6,Accuracy,bnhiersyn,bn,0.935393209176244,0.06460679082375598,0.02341394984201764,3,0.04119284098173834,FALSE
hierarchical,18,3,Categorical,C6,Accuracy,carthiersyn,cart,1,0,-0.010725985445729225,3,0.010725985445729225,TRUE
hierarchical,18,3,Categorical,C6,Accuracy,parmhiersyn,parm,0.9190366816031601,0.0809633183968399,-0.0637067881851229,3,0.1446701065819628,FALSE
hierarchical,18,3,Categorical,C6,Accuracy,svmhiersyn,svm,0.9886817103902494,0.009891272953594089,0.002357959518069282,3,0.007533313435524807,FALSE
hierarchical,18,3,Categorical,C6,F1,bnhiersyn,bn,0.9349981080828921,0.06500189191710792,0.023224459695163156,3,0.04177743222194477,FALSE
